"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Dos Anjos T.; Guillot A.; Daligault S.; Chamoun D.-M.; De Sousa T.; Di Rienzo F.","Dos Anjos, Typhanie (58131338000); Guillot, Aymeric (7003423136); Daligault, Sebastien (36476011800); Chamoun, Donna-Maria (59227604200); De Sousa, Thomas (59227604300); Di Rienzo, Franck (55353737500)","58131338000; 7003423136; 36476011800; 59227604200; 59227604300; 55353737500","Low-frequency sounds combined with motor imagery elicits a transient disruption of force performance: A path to neuromotor reprogramming?","2024","NeuroImage","297","","120746","","","","0","10.1016/j.neuroimage.2024.120746","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199207206&doi=10.1016%2fj.neuroimage.2024.120746&partnerID=40&md5=41c882c145974daf622278c3e17aa641","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85199207206"
"Prabowo D.W.; Nugroho H.A.; Setiawan N.A.; Debayle J.","Prabowo, Dwi Wahyu (56237214200); Nugroho, Hanung Adi (57210591699); Setiawan, Noor Akhmad (57215833019); Debayle, Johan (14821803800)","56237214200; 57210591699; 57215833019; 14821803800","A systematic literature review of emotion recognition using EEG signals","2023","Cognitive Systems Research","82","","101152","","","","13","10.1016/j.cogsys.2023.101152","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169819433&doi=10.1016%2fj.cogsys.2023.101152&partnerID=40&md5=deff608a9569170edaebda03a5ef403c","Article","Final","","Scopus","2-s2.0-85169819433"
"Saia R.; Carta S.; Fenu G.; Pompianu L.","Saia, Roberto (56029094200); Carta, Salvatore (7004254388); Fenu, Gianni (24469552000); Pompianu, Livio (56875378900)","56029094200; 7004254388; 24469552000; 56875378900","Influencing brain waves by evoked potentials as biometric approach: taking stock of the last six years of research","2023","Neural Computing and Applications","35","16","","11625","11651","26","5","10.1007/s00521-023-08539-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152785408&doi=10.1007%2fs00521-023-08539-4&partnerID=40&md5=873fe033bb3a25a4ed882e703d116f41","Review","Final","","Scopus","2-s2.0-85152785408"
"Herozi M.A.; Kamali A.-M.; Shamsi F.; Nami M.","Herozi, Mahla Azizzadeh (58985119000); Kamali, Ali-Mohammad (57194264962); Shamsi, Fatemeh (57212105848); Nami, Mohammad (55926402400)","58985119000; 57194264962; 57212105848; 55926402400","The Age-Specific Impact of Alpha-Wave Binaural Acoustic Stimulation on Motor-Learning Aptitude","2024","NeuroRegulation","11","1","","71","80","9","0","10.15540/nr.11.1.71","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190324576&doi=10.15540%2fnr.11.1.71&partnerID=40&md5=ab304a04b937af6f70e93070093132c0","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85190324576"
"Sakurai N.; Nagasaka K.; Takahashi S.; Kasai S.; Onishi H.; Kodama N.","Sakurai, Noriko (57222538884); Nagasaka, Kazuaki (57194658254); Takahashi, Shingo (55991715400); Kasai, Satoshi (57483366100); Onishi, Hideaki (55633633800); Kodama, Naoki (16175277300)","57222538884; 57194658254; 55991715400; 57483366100; 55633633800; 16175277300","Brain function effects of autonomous sensory meridian response (ASMR) video viewing","2023","Frontiers in Neuroscience","17","","1025745","","","","7","10.3389/fnins.2023.1025745","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147671738&doi=10.3389%2ffnins.2023.1025745&partnerID=40&md5=0140f071a16fa1294b5f651dfcba5c23","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85147671738"
"Binder M.; Papiernik J.; Griskova-Bulanova I.; Frycz S.; Chojnacki B.; Górska-Klimowska U.","Binder, Marek (7103167415); Papiernik, Julia (58814114800); Griskova-Bulanova, Inga (8386942500); Frycz, Sandra (58697778100); Chojnacki, Bartłomiej (57195259463); Górska-Klimowska, Urszula (55314674600)","7103167415; 58814114800; 8386942500; 58697778100; 57195259463; 55314674600","Diagnosing awareness in disorders of consciousness with gamma-band auditory responses","2023","Frontiers in Human Neuroscience","17","","1243051","","","","2","10.3389/fnhum.2023.1243051","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182428805&doi=10.3389%2ffnhum.2023.1243051&partnerID=40&md5=e1e3d6451662ffe63ef3c41ceda585bb","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85182428805"
"Hsiung P.-C.; Hsieh P.-J.","Hsiung, Pin-Cheng (58904095300); Hsieh, Po-Jang (8947057100)","58904095300; 8947057100","Forty-Hertz audiovisual stimulation does not have a promoting effect on visual threshold and visual spatial memory","2024","Journal of Vision","24","2","8","1","10","9","0","10.1167/JOV.24.2.8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185862549&doi=10.1167%2fJOV.24.2.8&partnerID=40&md5=9573d12845ffec963bc7c1feabced502","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85185862549"
"Elyamany O.; Iffland J.; Lockhofen D.; Steinmann S.; Leicht G.; Mulert C.","Elyamany, Osama (57214939499); Iffland, Jona (15070853100); Lockhofen, Denise (56584526200); Steinmann, Saskia (55202237800); Leicht, Gregor (6506346390); Mulert, Christoph (6701628212)","57214939499; 15070853100; 56584526200; 55202237800; 6506346390; 6701628212","Top-down modulation of dichotic listening affects interhemispheric connectivity: an electroencephalography study","2024","Frontiers in Neuroscience","18","","1424746","","","","0","10.3389/fnins.2024.1424746","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204902276&doi=10.3389%2ffnins.2024.1424746&partnerID=40&md5=cd8c1b9b20a3f4c78a6580fdc56dd298","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85204902276"
"Van Opstal A.J.; Noordanus E.","Van Opstal, A. John (7003413417); Noordanus, Elisabeth (57221737309)","7003413417; 57221737309","Towards personalized and optimized fitting of cochlear implants","2023","Frontiers in Neuroscience","17","","1183126","","","","0","10.3389/fnins.2023.1183126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166007622&doi=10.3389%2ffnins.2023.1183126&partnerID=40&md5=be9ddaa60c76eb941e092c86298d2df4","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85166007622"
"Lohaus T.; Schreckenberg S.C.; Bellingrath S.; Thoma P.","Lohaus, Tobias (58043104400); Schreckenberg, Sarah C. (58934054400); Bellingrath, Silja (23767154900); Thoma, Patrizia (23098941100)","58043104400; 58934054400; 23767154900; 23098941100","Autonomous Sensory Meridian Response (ASMR): A PRISMA-Guided Systematic Review","2023","Psychology of Consciousness: Theory Research, and Practice","","","","","","","2","10.1037/cns0000368","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183342288&doi=10.1037%2fcns0000368&partnerID=40&md5=52188be7ccfc11f49d7637643635f558","Article","Article in press","","Scopus","2-s2.0-85183342288"
"Ather M.; Ejaz O.; Rao A.Z.; Mujib M.D.; Raees F.; Qazi S.A.; Hasan M.A.","Ather, Maryam (59211203100); Ejaz, Osama (57787911500); Rao, Ahmad Zahid (57371167700); Mujib, Muhammad Danish (57194407742); Raees, Faryal (57113642400); Qazi, Saad Ahmed (15844346500); Hasan, Muhammad Abul (55057481300)","59211203100; 57787911500; 57371167700; 57194407742; 57113642400; 15844346500; 55057481300","Efficacy of audiovisual neurofeedback training for attention enhancement: A multimodal approach","2024","NeuroReport","35","11","","721","728","7","0","10.1097/WNR.0000000000002063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197973766&doi=10.1097%2fWNR.0000000000002063&partnerID=40&md5=27f5a87022e7e89d7c96718c8d79d354","Article","Final","","Scopus","2-s2.0-85197973766"
"González D.; Bruña R.; Martínez-Castrillo J.C.; López J.M.; De Arcas G.","González, David (58243208300); Bruña, Ricardo (36812833000); Martínez-Castrillo, Juan Carlos (57203931962); López, Juan Manuel (57190252519); De Arcas, Guillermo (16401639400)","58243208300; 36812833000; 57203931962; 57190252519; 16401639400","First Longitudinal Study Using Binaural Beats on Parkinson Disease","2023","International Journal of Neural Systems","33","6","2350027","","","","2","10.1142/S0129065723500272","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158889679&doi=10.1142%2fS0129065723500272&partnerID=40&md5=f79f52f463885ea5fea39f53c778b451","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85158889679"
"Shumov D.E.; Sveshnikov D.S.; Bakaeva Z.V.; Yakunina E.B.; Dorokhov V.B.","Shumov, D.E. (57193848219); Sveshnikov, D.S. (6603111000); Bakaeva, Z.V. (57220268428); Yakunina, E.B. (57198768923); Dorokhov, V.B. (57194079123)","57193848219; 6603111000; 57220268428; 57198768923; 57194079123","The Effectiveness of Suggestion-Based Methods to Improve Sleep Is Increased by Combining Them with Sound Stimuli Based on Binaural Beat","2024","Neuroscience and Behavioral Physiology","","","","","","","0","10.1007/s11055-024-01695-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205363312&doi=10.1007%2fs11055-024-01695-7&partnerID=40&md5=86e34a9afa22a0a12f2eb253deb67e19","Article","Article in press","","Scopus","2-s2.0-85205363312"
"Wei L.; Verschooten E.; Joris P.X.","Wei, Liting (56510744400); Verschooten, Eric (36545493100); Joris, Philip X. (6603871964)","56510744400; 36545493100; 6603871964","Enhancement of phase-locking in rodents. II. An axonal recording study in chinchilla","2023","Journal of Neurophysiology","130","3","","751","767","16","2","10.1152/jn.00474.2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170582503&doi=10.1152%2fjn.00474.2022&partnerID=40&md5=c372d03e45a93f83e047df421112946d","Article","Final","","Scopus","2-s2.0-85170582503"
"Chockboondee M.; Jatupornpoonsub T.; Lertsukprasert K.; Wongsawat Y.","Chockboondee, Mondnath (58534427800); Jatupornpoonsub, Tirapoot (57226839484); Lertsukprasert, Krisna (8581895200); Wongsawat, Yodchanan (17436183800)","58534427800; 57226839484; 8581895200; 17436183800","Long and Short Durations of Binaural Beats Differently Affect Relaxation: A Study of HRV and BRUMS","2023","IEEE Access","11","","","84842","84851","9","3","10.1109/ACCESS.2023.3303183","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167799453&doi=10.1109%2fACCESS.2023.3303183&partnerID=40&md5=86832640c7207fcd46314cdc639bc62e","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85167799453"
"Engelbregt H.; Barmentlo M.; Keeser D.; Pogarell O.; Deijen J.B.","Engelbregt, Hessel (57160321700); Barmentlo, Marinda (57226108063); Keeser, Daniel (25649422600); Pogarell, Oliver (7003444412); Deijen, Jan Berend (7003376939)","57160321700; 57226108063; 25649422600; 7003444412; 7003376939","Effects of binaural and monaural beat stimulation on attention and EEG","2021","Experimental Brain Research","239","9","","2781","2791","10","21","10.1007/s00221-021-06155-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110440757&doi=10.1007%2fs00221-021-06155-z&partnerID=40&md5=a4f5d831f2dfd7dfc6da901f86ba335c","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85110440757"
"Cheng C.-M.; Lin T.-F.; Chen Y.-J.; Chen L.-B.","Cheng, Chien-Min (34267461600); Lin, Tsen-Fang (57712317200); Chen, Yeou-Jiunn (7601440288); Chen, Liang-Bi (8266743400)","34267461600; 57712317200; 7601440288; 8266743400","Promoting Relaxation Using Monaural Beats With Ultralow-Frequency Inaudible Sounds: An Empirical Case Study","2022","IEEE Access","10","","","50807","50818","11","4","10.1109/ACCESS.2022.3173744","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130779444&doi=10.1109%2fACCESS.2022.3173744&partnerID=40&md5=ca6b7cbef70f77c39ed2969db7ea179b","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85130779444"
"Ross B.; Dobri S.; Jamali S.; Bartel L.","Ross, Bernhard (35547457600); Dobri, Simon (57211448144); Jamali, Shahab (46062079100); Bartel, Lee (36992075200)","35547457600; 57211448144; 46062079100; 36992075200","Entrainment of somatosensory beta and gamma oscillations accompany improvement in tactile acuity after periodic and aperiodic repetitive sensory stimulation","2022","International Journal of Psychophysiology","177","","","11","26","15","4","10.1016/j.ijpsycho.2022.04.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128942185&doi=10.1016%2fj.ijpsycho.2022.04.007&partnerID=40&md5=2d9893d03f7b2b03b405d74a5bf310c6","Article","Final","","Scopus","2-s2.0-85128942185"
"Kolarik A.J.; Pardhan S.; Moore B.C.J.","Kolarik, Andrew J. (25936259300); Pardhan, Shahina (7003706887); Moore, Brian C. J. (57211731030)","25936259300; 7003706887; 57211731030","A framework to account for the effects of visual loss on human auditory abilities.","2021","Psychological Review","128","5","","913","935","22","13","10.1037/rev0000279","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107344755&doi=10.1037%2frev0000279&partnerID=40&md5=eb5112fdc372829a3d3b13417e1069f4","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85107344755"
"Williams Z.J.; He J.L.; Cascio C.J.; Woynaroski T.G.","Williams, Zachary J. (57196634491); He, Jason L. (57193347781); Cascio, Carissa J. (36721048200); Woynaroski, Tiffany G. (55660838500)","57196634491; 57193347781; 36721048200; 55660838500","A review of decreased sound tolerance in autism: Definitions, phenomenology, and potential mechanisms","2021","Neuroscience and Biobehavioral Reviews","121","","","1","17","16","68","10.1016/j.neubiorev.2020.11.030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097869309&doi=10.1016%2fj.neubiorev.2020.11.030&partnerID=40&md5=e848c8b942180e282c657c080c7f4716","Review","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85097869309"
"Yao F.; Zhou B.","Yao, Fangshu (57207759356); Zhou, Bin (56763164400)","57207759356; 56763164400","It's time for attentional control: Temporal expectation in the attentional blink","2023","Consciousness and Cognition","107","","103461","","","","1","10.1016/j.concog.2022.103461","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145665564&doi=10.1016%2fj.concog.2022.103461&partnerID=40&md5=09007004ac30be07a2f93a7912d8c316","Review","Final","","Scopus","2-s2.0-85145665564"
"Rimmele J.M.; Kern P.; Lubinus C.; Frieler K.; Poeppel D.; Assaneo M.F.","Rimmele, Johanna M. (36933936100); Kern, Pius (57221335637); Lubinus, Christina (57219829385); Frieler, Klaus (32667638400); Poeppel, David (7003791677); Assaneo, M. Florencia (36553834500)","36933936100; 57221335637; 57219829385; 32667638400; 7003791677; 36553834500","Musical Sophistication and Speech Auditory-Motor Coupling: Easy Tests for Quick Answers","2022","Frontiers in Neuroscience","15","","764342","","","","9","10.3389/fnins.2021.764342","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123055098&doi=10.3389%2ffnins.2021.764342&partnerID=40&md5=ba01a45e0f5a584249cc4259e5e41d95","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85123055098"
"Sakurai N.; Ohno K.; Kasai S.; Nagasaka K.; Onishi H.; Kodama N.","Sakurai, Noriko (57222538884); Ohno, Ken (55585021100); Kasai, Satoshi (57483366100); Nagasaka, Kazuaki (57194658254); Onishi, Hideaki (55633633800); Kodama, Naoki (16175277300)","57222538884; 55585021100; 57483366100; 57194658254; 55633633800; 16175277300","Induction of Relaxation by Autonomous Sensory Meridian Response","2021","Frontiers in Behavioral Neuroscience","15","","761621","","","","17","10.3389/fnbeh.2021.761621","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121252815&doi=10.3389%2ffnbeh.2021.761621&partnerID=40&md5=088fb41c515c873e9b63834cf11cff45","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85121252815"
"Asokan M.M.; Williamson R.S.; Hancock K.E.; Polley D.B.","Asokan, Meenakshi M. (57202750515); Williamson, Ross S. (56647482400); Hancock, Kenneth E. (7005908785); Polley, Daniel B. (6701823573)","57202750515; 56647482400; 7005908785; 6701823573","Inverted central auditory hierarchies for encoding local intervals and global temporal patterns","2021","Current Biology","31","8","","1762","1770.e4","","15","10.1016/j.cub.2021.01.076","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104469391&doi=10.1016%2fj.cub.2021.01.076&partnerID=40&md5=c7e3316f9a9efbb68ed0057f25a43e14","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85104469391"
"Calis M.; Van De Par S.; Heusdens R.; Hendriks R.C.","Calis, Metin (57221498421); Van De Par, Steven (6701627290); Heusdens, Richard (6602489924); Hendriks, Richard Christian (7005452305)","57221498421; 6701627290; 6602489924; 7005452305","Localization Based on Enhanced Low Frequency Interaural Level Difference","2021","IEEE/ACM Transactions on Audio Speech and Language Processing","29","","","3025","3039","14","1","10.1109/TASLP.2021.3111583","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114744396&doi=10.1109%2fTASLP.2021.3111583&partnerID=40&md5=7de79ef4dbe657ec52d4c415164d16c2","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85114744396"
"Bakaeva Z.V.; Shumov D.E.; Yakunina E.B.; Starshinov Y.P.; Sveshnikov D.S.; Torshin V.I.; Dorokhov V.B.; Karpov V.I.","Bakaeva, Z.V. (57220268428); Shumov, D.E. (57193848219); Yakunina, E.B. (57198768923); Starshinov, Yu. P. (57198770499); Sveshnikov, D.S. (6603111000); Torshin, V.I. (6701418079); Dorokhov, V.B. (57194079123); Karpov, V.I. (57224483307)","57220268428; 57193848219; 57198768923; 57198770499; 6603111000; 6701418079; 57194079123; 57224483307","The Influence of Music with the Binaural Beat Effect on Heart Rate during Daytime Sleep in Humans","2022","Neuroscience and Behavioral Physiology","52","2","","218","222","4","5","10.1007/s11055-022-01227-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126462537&doi=10.1007%2fs11055-022-01227-1&partnerID=40&md5=4e59b73a1e25b906b5fe5f5b2e788cca","Article","Final","","Scopus","2-s2.0-85126462537"
"Yi J.-H.; Kim K.-B.; Kim Y.-J.; Kim J.-S.; Kim H.-S.; Choi M.-H.; Chung S.-C.","Yi, Jeong-Han (7402736699); Kim, Kyu-Beom (57224413677); Kim, Ye-Jin (57214440556); Kim, Ji-Su (57971773800); Kim, Hyung-Sik (57203423417); Choi, Mi-Hyun (57693274300); Chung, Soon-Cheol (55976631100)","7402736699; 57224413677; 57214440556; 57971773800; 57203423417; 57693274300; 55976631100","A Comparison of the Effects of Binaural Beats of Audible and Inaudible Frequencies on Brainwaves","2022","Applied Sciences (Switzerland)","12","24","13004","","","","1","10.3390/app122413004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144848068&doi=10.3390%2fapp122413004&partnerID=40&md5=05854a025d8da3278fe492e29cf729d1","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85144848068"
"Young A.; Hunt T.; Ericson M.","Young, Asa (57470455300); Hunt, Tam (54397022600); Ericson, Marissa (36720486700)","57470455300; 54397022600; 36720486700","The Slowest Shared Resonance: A Review of Electromagnetic Field Oscillations Between Central and Peripheral Nervous Systems","2022","Frontiers in Human Neuroscience","15","","796455","","","","13","10.3389/fnhum.2021.796455","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125445830&doi=10.3389%2ffnhum.2021.796455&partnerID=40&md5=e1383e97d1ffc786cf3075f458c96cdc","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85125445830"
"Mutlu-Bayraktar D.; Ozel P.; Altindis F.; Yilmaz B.","Mutlu-Bayraktar, Duygu (55443406000); Ozel, Pinar (24544550200); Altindis, Fatih (57193720164); Yilmaz, Bulent (57189925966)","55443406000; 24544550200; 57193720164; 57189925966","Split-attention effects in multimedia learning environments: eye-tracking and EEG analysis","2022","Multimedia Tools and Applications","81","6","","8259","8282","23","4","10.1007/s11042-022-12296-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124089010&doi=10.1007%2fs11042-022-12296-2&partnerID=40&md5=078f83398a78fc19db1f05ba4bf40ef3","Article","Final","","Scopus","2-s2.0-85124089010"
"Chen X.; Shi X.; Wu Y.; Zhou Z.; Chen S.; Han Y.; Shan C.","Chen, Xixi (57359448400); Shi, Xiaolong (57781160800); Wu, Yuwei (57782485500); Zhou, Zhiqing (57219727236); Chen, Songmei (57359448500); Han, Yan (56430166400); Shan, Chunlei (7004571179)","57359448400; 57781160800; 57782485500; 57219727236; 57359448500; 56430166400; 7004571179","Gamma oscillations and application of 40-Hz audiovisual stimulation to improve brain function","2022","Brain and Behavior","12","12","e2811","","","","10","10.1002/brb3.2811","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142156312&doi=10.1002%2fbrb3.2811&partnerID=40&md5=5355e5c385efbae1bc663aab8893dfd6","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85142156312"
"Dabiri R.; Monazzam Esmaielpour M.R.; Salmani Nodoushan M.; khaneshenas F.; Zakerian S.A.","Dabiri, Roya (57722932900); Monazzam Esmaielpour, Mohammad Reza (22951119800); Salmani Nodoushan, Mojahede (57723239900); khaneshenas, Farin (57853760400); Zakerian, Seyed Abolfazl (35363232600)","57722932900; 22951119800; 57723239900; 57853760400; 35363232600","The effect of auditory stimulation using delta binaural beat for a better sleep and post-sleep mood: A pilot study","2022","Digital Health","8","","","","","","8","10.1177/20552076221102243","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131189374&doi=10.1177%2f20552076221102243&partnerID=40&md5=b5c5cceb13ca58c59a166b779eb70078","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85131189374"
"Chen Q.; Wang D.; Shapiro K.L.; Hanslmayr S.","Chen, Qiaoyu (57193498213); Wang, Danying (57203263872); Shapiro, Kimron L. (7005372166); Hanslmayr, Simon (6506938544)","57193498213; 57203263872; 7005372166; 6506938544","Using fast visual rhythmic stimulation to control inter-hemispheric phase offsets in visual areas","2021","Neuropsychologia","157","","107863","","","","3","10.1016/j.neuropsychologia.2021.107863","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105780976&doi=10.1016%2fj.neuropsychologia.2021.107863&partnerID=40&md5=62f2a9bafb1e6e24709a118458597990","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85105780976"
"Rahman J.S.; Gedeon T.; Caldwell S.; Jones R.; Jin Z.","Rahman, Jessica Sharmin (57204640335); Gedeon, Tom (24400830200); Caldwell, Sabrina (55841706600); Jones, Richard (57197987166); Jin, Zi (57219498594)","57204640335; 24400830200; 55841706600; 57197987166; 57219498594","Towards Effective Music Therapy for Mental Health Care Using Machine Learning Tools: Human Affective Reasoning and Music Genres","2021","Journal of Artificial Intelligence and Soft Computing Research","11","1","","5","20","15","40","10.2478/jaiscr-2021-0001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117464375&doi=10.2478%2fjaiscr-2021-0001&partnerID=40&md5=ca0a41ee9e792484aa8d2dda6052af23","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85117464375"
"Mujib M.D.; Hasan M.A.; Qazi S.A.; Vuckovic A.","Mujib, Muhammad Danish (57194407742); Hasan, Muhammad Abul (55057481300); Qazi, Saad Ahmed (15844346500); Vuckovic, Aleksandra (57207592521)","57194407742; 55057481300; 15844346500; 57207592521","Understanding the neurological mechanism involved in enhanced memory recall task following binaural beat: a pilot study","2021","Experimental Brain Research","239","9","","2741","2754","13","13","10.1007/s00221-021-06132-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109660916&doi=10.1007%2fs00221-021-06132-6&partnerID=40&md5=1af6974242493c29c6ec42d37ef5bb2a","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85109660916"
"Pai Y.S.; Bait M.L.; Lee J.; Xu J.; Peiris R.L.; Woo W.; Billinghurst M.; Kunze K.","Pai, Yun Suen (56267209600); Bait, Marsel L. (57263936300); Lee, Juyoung (57191506731); Xu, Jingjing (57263390000); Peiris, Roshan L (23397978800); Woo, Woontack (35575439600); Billinghurst, Mark (7006142663); Kunze, Kai (21743317500)","56267209600; 57263936300; 57191506731; 57263390000; 23397978800; 35575439600; 7006142663; 21743317500","NapWell: An EOG-based Sleep Assistant Exploring the Effects of Virtual Reality on Sleep Onset","2022","Virtual Reality","26","2","","437","451","14","6","10.1007/s10055-021-00571-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115165409&doi=10.1007%2fs10055-021-00571-w&partnerID=40&md5=50e7c994c019d7b8f73e5c20040cf01d","Article","Final","","Scopus","2-s2.0-85115165409"
"Cheah Y.; Wong H.K.; Spitzer M.; Coutinho E.","Cheah, Yiting (58090660500); Wong, Hoo Keat (57210927948); Spitzer, Michael (26324703100); Coutinho, Eduardo (13007931400)","58090660500; 57210927948; 26324703100; 13007931400","Background Music and Cognitive Task Performance: A Systematic Review of Task, Music, and Population Impact","2022","Music and Science","5","","","","","","4","10.1177/20592043221134392","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143050196&doi=10.1177%2f20592043221134392&partnerID=40&md5=a947c61124eca4567971501289704690","Article","Final","","Scopus","2-s2.0-85143050196"
"Naro A.; Maggio M.G.; Leo A.; Calabrò R.S.","Naro, Antonino (37037984000); Maggio, Maria Grazia (57198766614); Leo, Antonino (55774547800); Calabrò, Rocco Salvatore (16416609700)","37037984000; 57198766614; 55774547800; 16416609700","Multiplex and Multilayer Network EEG Analyses: A Novel Strategy in the Differential Diagnosis of Patients with Chronic Disorders of Consciousness","2021","International Journal of Neural Systems","31","2","2050052","","","","21","10.1142/S0129065720500525","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092739288&doi=10.1142%2fS0129065720500525&partnerID=40&md5=027a0c1309c42737e15a2a6ba57c9d19","Article","Final","","Scopus","2-s2.0-85092739288"
"van Ackooij M.; Paul J.M.; van der Zwaag W.; van der Stoep N.; Harvey B.M.","van Ackooij, Martijn (57211580316); Paul, Jacob M. (56666677500); van der Zwaag, Wietske (15133192900); van der Stoep, Nathan (55019464800); Harvey, Ben M. (24398851900)","57211580316; 56666677500; 15133192900; 55019464800; 24398851900","Auditory timing-tuned neural responses in the human auditory cortices","2022","NeuroImage","258","","119366","","","","1","10.1016/j.neuroimage.2022.119366","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132317696&doi=10.1016%2fj.neuroimage.2022.119366&partnerID=40&md5=1b7a258434199e9385511dbe96f4f74f","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85132317696"
"Alonso-Valerdi L.M.; Torres-Torres A.S.; Corona-González C.E.; Ibarra-Zárate D.I.","Alonso-Valerdi, Luz M. (49962954800); Torres-Torres, Alma S. (57614149400); Corona-González, César E. (57359711900); Ibarra-Zárate, David I. (55234023500)","49962954800; 57614149400; 57359711900; 55234023500","Clustering approach based on psychometrics and auditory event-related potentials to evaluate acoustic therapy effects","2022","Biomedical Signal Processing and Control","76","","103719","","","","5","10.1016/j.bspc.2022.103719","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128752875&doi=10.1016%2fj.bspc.2022.103719&partnerID=40&md5=83658670d85ed453366cab7a8a2bf8cc","Article","Final","","Scopus","2-s2.0-85128752875"
