"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Hanekom J.J.; Krüger J.J.","Hanekom, Johan J. (6603619826); Krüger, Johann J. (57214553016)","6603619826; 57214553016","A model of frequency discrimination with optimal processing of auditory nerve spike intervals","2001","Hearing Research","151","1-2","","188","204","16","5","10.1016/S0378-5955(00)00227-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035214932&doi=10.1016%2fS0378-5955%2800%2900227-6&partnerID=40&md5=e923b8632c12e331a0e1dbe68e0ad059","Article","Final","","Scopus","2-s2.0-0035214932"
"Blanks D.A.; Roberts J.M.; Buss E.; Hall J.W.; Fitzpatrick D.C.","Blanks, Deidra A. (16836269800); Roberts, Jason M. (24366948900); Buss, Emily (7005052011); Hall, Joseph W. (7407377343); Fitzpatrick, Douglas C. (7102639310)","16836269800; 24366948900; 7005052011; 7407377343; 7102639310","Neural and behavioral sensitivity to interaural time differences using amplitude modulated tones with mismatched carrier frequencies","2007","JARO - Journal of the Association for Research in Otolaryngology","8","3","","393","408","15","23","10.1007/s10162-007-0088-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547655635&doi=10.1007%2fs10162-007-0088-5&partnerID=40&md5=0c3db62c025331f782747141914cc9a5","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-34547655635"
"Fitzpatrick D.C.; Kuwada S.; Batra R.","Fitzpatrick, Douglas C. (7102639310); Kuwada, Shigeyuki (57207514179); Batra, Ranjan (7201905936)","7102639310; 57207514179; 7201905936","Neural sensitivity to interaural time differences: Beyond the Jeffress model","2000","Journal of Neuroscience","20","4","","1605","1615","10","74","10.1523/jneurosci.20-04-01605.2000","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034652198&doi=10.1523%2fjneurosci.20-04-01605.2000&partnerID=40&md5=1e115d1bda28e9daf81b6bfb34f7f4d4","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-0034652198"
"Joris P.X.; Van De Sande B.; Recio-Spinoso A.; Van Der Heijden M.","Joris, Philip X. (6603871964); Van De Sande, Bram (8251502500); Recio-Spinoso, Alberto (8954884300); Van Der Heijden, Marcel (57197527914)","6603871964; 8251502500; 8954884300; 57197527914","Auditory midbrain and nerve responses to sinusoidal variations in interaural correlation","2006","Journal of Neuroscience","26","1","","279","289","10","41","10.1523/JNEUROSCI.2285-05.2006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-30644473246&doi=10.1523%2fJNEUROSCI.2285-05.2006&partnerID=40&md5=41d6434fbc49dd5d87b39340ab1cf74a","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-30644473246"
"Bodnar D.A.; Bass A.H.","Bodnar, Deana A. (7005729274); Bass, Andrew H. (7101904989)","7005729274; 7101904989","Temporal coding of concurrent acoustic signals in auditory midbrain","1997","Journal of Neuroscience","17","19","","7553","7564","11","56","10.1523/jneurosci.17-19-07553.1997","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030804273&doi=10.1523%2fjneurosci.17-19-07553.1997&partnerID=40&md5=4635d55d244f854eb49921af1214fe19","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-0030804273"
"Large E.W.; Jones M.R.","Large, Edward W. (6604072204); Jones, Mari Riess (7501850497)","6604072204; 7501850497","The dynamics of attending: How people track time-varying events","1999","Psychological Review","106","1","","119","159","40","1052","10.1037/0033-295X.106.1.119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0009298580&doi=10.1037%2f0033-295X.106.1.119&partnerID=40&md5=7ce465167ae7ea1fea56eb401e52e70a","Article","Final","","Scopus","2-s2.0-0009298580"
"Litovsky R.Y.; Delgutte B.","Litovsky, R.Y. (6701642611); Delgutte, B. (6701766119)","6701642611; 6701766119","Neural correlates of the precedence effect in the inferior colliculus: Effect of localization cues","2002","Journal of Neurophysiology","87","2","","976","994","18","36","10.1152/jn.00568.2001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036095865&doi=10.1152%2fjn.00568.2001&partnerID=40&md5=02eee147e280412a84630929cc5b801a","Article","Final","","Scopus","2-s2.0-0036095865"
"Nelson P.C.; Carney L.H.","Nelson, Paul C. (7402247044); Carney, Laurel H. (7005132843)","7402247044; 7005132843","Neural rate and timing cues for detection and discrimination of amplitude-modulated tones in the awake rabbit inferior colliculus","2007","Journal of Neurophysiology","97","1","","522","539","17","89","10.1152/jn.00776.2006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846407636&doi=10.1152%2fjn.00776.2006&partnerID=40&md5=9ab77c58cd29c0508242640190abec53","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-33846407636"
"Tagliacozzo R.","Tagliacozzo, Renata (6602934022)","6602934022","Levels of technicality in scientific communication","1976","Information Processing and Management","12","2","","95","110","15","9","10.1016/0306-4573(76)90040-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-5244270242&doi=10.1016%2f0306-4573%2876%2990040-6&partnerID=40&md5=303b5c87743e578b9775b24bb1d962fa","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-5244270242"
"Middlebrooks J.C.; Snyder R.L.","Middlebrooks, John C. (7003476687); Snyder, Russell L. (57207897133)","7003476687; 57207897133","Auditory prosthesis with a penetrating nerve array","2007","JARO - Journal of the Association for Research in Otolaryngology","8","2","","258","279","21","129","10.1007/s10162-007-0070-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247467378&doi=10.1007%2fs10162-007-0070-2&partnerID=40&md5=a21c1add7945405abb2bc41df77045e1","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-34247467378"
